Round,Fert Trial,MaleID,Pat Treat,Fert Treat,Temp
1,H1-H1,H1,H,H,19.1
1,H1-H2,H1,H,H,19.6
1,H1-H3,H1,H,H,20.1
1,H1-L1,H1,H,L,14.4
1,H1-L2,H1,H,L,14.4
1,H1-L3,H1,H,L,14.4
1,H2-H1,H2,H,H,19
1,H2-H2,H2,H,H,19.3
1,H2-H3,H2,H,H,19.5
1,H2-L1,H2,H,L,15.4
1,H2-L2,H2,H,L,15.4
1,H2-L3,H2,H,L,14.9
1,L1-H1,L1,L,H,19.4
1,L1-H2,L1,L,H,19.5
1,L1-H3,L1,L,H,19.9
1,L1-L1,L1,L,L,14.4
1,L1-L2,L1,L,L,14.7
1,L1-L3,L1,L,L,14.3
1,L2-H1,L2,L,H,19.1
1,L2-H2,L2,L,H,19.5
1,L2-H3,L2,L,H,19.9
1,L2-L1,L2,L,L,14.6
1,L2-L2,L2,L,L,14.7
1,L2-L3,L2,L,L,14.7
1,H3-H1,H3,H,H,18.9
1,H3-H2,H3,H,H,19.3
1,H3-H3,H3,H,H,19.7
1,H3-L1,H3,H,L,14.7
1,H3-L2,H3,H,L,14.5
1,H3-L3,H3,H,L,14.5
1,L3-H1,L3,L,H,19.2
1,L3-H2,L3,L,H,19.6
1,L3-H3,L3,L,H,20.1
1,L3-L1,L3,L,L,14.9
1,L3-L2,L3,L,L,14.8
1,L3-L3,L3,L,L,14.7
2,L4-H1,L4,L,H,20
2,L4-H2,L4,L,H,19.1
2,L4-H3,L4,L,H,19.4
2,L4-L1,L4,L,L,14.1
2,L4-L2,L4,L,L,14
2,L4-L3,L4,L,L,14
2,H4-H1,H4,H,H,19.1
2,H4-H2,H4,H,H,19.5
2,H4-H3,H4,H,H,19.6
2,H4-L1,H4,H,L,14.2
2,H4-L2,H4,H,L,14.1
2,H4-L3,H4,H,L,14.2
2,H5-H1,H5,H,H,19
2,H5-H2,H5,H,H,19.1
2,H5-H3,H5,H,H,19.3
2,H5-L1,H5,H,L,13.4
2,H5-L2,H5,H,L,13.4
2,H5-L3,H5,H,L,14
2,L5-L1,L5,L,L,14.1
2,L5-L2,L5,L,L,14.5
2,L5-L3,L5,L,L,14.3
2,L5-H1,L5,L,H,19.2
2,L5-H2,L5,L,H,19.3
2,L5-H3,L5,L,H,19.5
2,L6-H1,L6,L,H,19.2
2,L6-H2,L6,L,H,19.4
2,L6-H3,L6,L,H,19.6
2,L6-L1,L6,L,L,14.5
2,L6-L2,L6,L,L,14.2
2,L6-L3,L6,L,L,14.2
2,H6-H1,H6,H,H,19.2
2,H6-H2,H6,H,H,19.3
2,H6-H3,H6,H,H,19.7
2,H6-L1,H6,H,L,14.8
2,H6-L2,H6,H,L,14.8
2,H6-L3,H6,H,L,14.3
3,H7-H1,H7,H,H,18.8
3,H7-H2,H7,H,H,19.1
3,H7-H3,H7,H,H,19.7
3,H7-L1,H7,H,L,14.5
3,H7-L2,H7,H,L,15
3,H7-L3,H7,H,L,15.1
3,L7-H1,L7,L,H,19.1
3,L7-H2,L7,L,H,19.6
3,L7-H3,L7,L,H,19.8
3,L7-L1,L7,L,L,15.5
3,L7-L2,L7,L,L,15.5
3,L7-L3,L7,L,L,15.5
3,L8-L1,L8,L,L,15
3,L8-L2,L8,L,L,14.6
3,L8-L3,L8,L,L,14.9
3,L8-H1,L8,L,H,19
3,L8-H2,L8,L,H,19.2
3,L8-H3,L8,L,H,19.7
3,H8-L1,H8,H,L,15.1
3,H8-L2,H8,H,L,14.9
3,H8-L3,H8,H,L,15.1
3,H8-H1,H8,H,H,19.1
3,H8-H2,H8,H,H,19.3
3,H8-H3,H8,H,H,19.9
3,H9-H1,H9,H,H,18.8
3,H9-H2,H9,H,H,19
3,H9-H3,H9,H,H,19.4
3,H9-L1,H9,H,L,14.7
3,H9-L2,H9,H,L,14.5
3,H9-L3,H9,H,L,14.5
3,L9-H1,L9,L,H,19.1
3,L9-H2,L9,L,H,19.5
3,L9-H3,L9,L,H,19.7
3,L9-L1,L9,L,L,15
3,L9-L2,L9,L,L,14.9
3,L9-L3,L9,L,L,14.9
